# metadata = 1695923608885.json
# taxonomy hierarchy = ["CCN20230722_CLAS", "CCN20230722_SUBC", "CCN20230722_CLUS"]
# readable taxonomy hierarchy = ["class", "subclass", "cluster"]
cell_id,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
20180225_sample_7,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_CLUS_0740,0740 Pvalb Gaba_3,599,1.0000
20180228_sample_3,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0000,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,1.0000
20180306_sample_1,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_CLUS_0740,0740 Pvalb Gaba_3,599,1.0000
20180306_sample_2,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0000,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,1.0000
20180306_sample_3,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_006,006 L4/5 IT CTX Glut,0.5000,CS20230722_CLUS_0097,0097 L4/5 IT CTX Glut_5,196,1.0000
20180306_sample_5,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0000,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,1.0000
20180309_sample_4,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_006,006 L4/5 IT CTX Glut,1.0000,CS20230722_CLUS_0069,0069 L4/5 IT CTX Glut_1,174,1.0000
20180309_sample_6,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_005,005 L5 IT CTX Glut,1.0000,CS20230722_CLUS_0058,0058 L5 IT CTX Glut_2,191,1.0000
20180309_sample_7,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_006,006 L4/5 IT CTX Glut,1.0000,CS20230722_CLUS_0069,0069 L4/5 IT CTX Glut_1,174,0.9900
20180309_sample_8,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0000,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,1.0000
20180313_sample_2,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_022,022 L5 ET CTX Glut,1.0000,CS20230722_CLUS_0364,0364 L5 ET CTX Glut_2,393,1.0000
20180313_sample_3,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_022,022 L5 ET CTX Glut,1.0000,CS20230722_CLUS_0364,0364 L5 ET CTX Glut_2,393,1.0000
20180313_sample_7,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0000,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,1.0000
20180313_sample_8,CS20230722_CLAS_30,30 Astro-Epen,0.9900,CS20230722_SUBC_319,319 Astro-TE NN,1.0000,CS20230722_CLUS_5224,5224 Astro-TE NN_3,14851,1.0000
20180313_sample_9,CS20230722_CLAS_07,07 CTX-MGE GABA,1.0000,CS20230722_SUBC_052,052 Pvalb Gaba,1.0000,CS20230722_CLUS_0742,0742 Pvalb Gaba_3,606,0.9900
20180315_sample_1,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_022,022 L5 ET CTX Glut,1.0000,CS20230722_CLUS_0355,0355 L5 ET CTX Glut_1,402,0.9900
20180315_sample_2,CS20230722_CLAS_34,34 Immune,0.7200,CS20230722_SUBC_334,334 Microglia NN,1.0000,CS20230722_CLUS_5312,5312 Microglia NN_1,5283,1.0000
20180315_sample_5,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0000,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.9100
20180315_sample_6,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0000,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,1.0000
20180321_sample_2,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_005,005 L5 IT CTX Glut,0.9700,CS20230722_CLUS_0064,0064 L5 IT CTX Glut_4,169,0.9600
20180321_sample_3,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_006,006 L4/5 IT CTX Glut,1.0000,CS20230722_CLUS_0091,0091 L4/5 IT CTX Glut_4,181,1.0000
20180321_sample_4,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0000,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,1.0000
20180321_sample_8,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_022,022 L5 ET CTX Glut,1.0000,CS20230722_CLUS_0364,0364 L5 ET CTX Glut_2,393,1.0000
20180321_sample_9,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_022,022 L5 ET CTX Glut,1.0000,CS20230722_CLUS_0363,0363 L5 ET CTX Glut_2,391,0.9400
20180322_sample_1,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0000,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,1.0000
20180322_sample_2,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,1.0000,CS20230722_CLUS_0109,0109 L2/3 IT CTX Glut_2,232,0.9800
20180322_sample_3,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_006,006 L4/5 IT CTX Glut,1.0000,CS20230722_CLUS_0071,0071 L4/5 IT CTX Glut_1,176,1.0000
20180322_sample_4,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_006,006 L4/5 IT CTX Glut,1.0000,CS20230722_CLUS_0070,0070 L4/5 IT CTX Glut_1,175,0.9900
20180322_sample_5,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_005,005 L5 IT CTX Glut,1.0000,CS20230722_CLUS_0061,0061 L5 IT CTX Glut_3,192,0.9100
20180322_sample_6,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_022,022 L5 ET CTX Glut,1.0000,CS20230722_CLUS_0364,0364 L5 ET CTX Glut_2,393,1.0000
